god,skin,link,size,slug
Artemis,Moonlit Ranger Artemis,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/MoonlitArt-3840x2160.jpg,3840x2160,new-in-smite-corrupted-arena-4-15-patch-notes
Artemis,Moonlit Ranger Artemis,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/MoonlitArt-1080x1920.jpg,1080x1920,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Earl Wubert St. Kongfrey,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/EarlSWK-1920x1080.jpg,1920x1080,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Earl Wubert St. Kongfrey,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/EarlSWK-2056x1446.jpg,2560x1440,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Earl Wubert St. Kongfrey,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/EarlSWK-3840x2160.jpg,3840x2160,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Earl Wubert St. Kongfrey,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/EarlSWK-1080x1920.jpg,1080x1920,new-in-smite-corrupted-arena-4-15-patch-notes
Skadi,Dragonkin Skadi,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonkinSkadi-1920x1080.jpg,1920x1080,new-in-smite-corrupted-arena-4-15-patch-notes
Skadi,Dragonkin Skadi,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonkinSkadi-2056x1446.jpg,2560x1440,new-in-smite-corrupted-arena-4-15-patch-notes
Skadi,Dragonkin Skadi,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonkinSkadi-3840x2160.jpg,3840x2160,new-in-smite-corrupted-arena-4-15-patch-notes
Skadi,Dragonkin Skadi,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonkinSkadi-1080x1920.jpg,1080x1920,new-in-smite-corrupted-arena-4-15-patch-notes
Kukulkan,Dragon’s Rage Kukulkan,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonsRageKuku-1920x1080.jpg,1920x1080,new-in-smite-corrupted-arena-4-15-patch-notes
Kukulkan,Dragon’s Rage Kukulkan,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonsRageKuku-2056x1446.jpg,2560x1440,new-in-smite-corrupted-arena-4-15-patch-notes
Kukulkan,Dragon’s Rage Kukulkan,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonsRageKuku-3840x2160.jpg,3840x2160,new-in-smite-corrupted-arena-4-15-patch-notes
Kukulkan,Dragon’s Rage Kukulkan,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DragonsRageKuku-1080x1920.jpg,1080x1920,new-in-smite-corrupted-arena-4-15-patch-notes
Zeus,Noble Esports Zeus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/NobleZeus-1920x1080.jpg,1920x1080,new-in-smite-corrupted-arena-4-15-patch-notes
